index,overwrite,equipSN,equipMake
399,yes,1431NML0R2,Oracle Sun
400,yes,1431NML0R3,Oracle Sun
401,yes,1431NML0R4,Oracle Sun
402,yes,1431NML0R5,Oracle Sun
403,yes,1431NML0R6,Oracle Sun
404,yes,1431NML0R7,Oracle Sun
405,yes,1431NML0R8,Oracle Sun
406,yes,1431NML0R9,Oracle Sun
407,yes,1431NML0RA,Oracle Sun
408,yes,1431NML0RB,Oracle Sun
409,yes,1431NML0RC,Oracle Sun
410,yes,1431NML0RD,Oracle Sun
411,yes,1431NML0RE,Oracle Sun
412,yes,1431NML0RF,Oracle Sun
413,yes,1431NML0RG,Oracle Sun
414,yes,1431NML0RH,Oracle Sun
415,yes,1431NML0RJ,Oracle Sun
416,yes,1431NML0RK,Oracle Sun
417,yes,1431NML0RL,Oracle Sun
418,yes,1431NML0RM,Oracle Sun
419,yes,1431NML0RN,Oracle Sun
420,yes,1431NML0RP,Oracle Sun
421,yes,1431NML0RR,Oracle Sun
422,yes,1431NML0RT,Oracle Sun
423,yes,1431NML0RU,Oracle Sun
424,yes,1431NML0RV,Oracle Sun
425,yes,1431NML0RW,Oracle Sun
426,yes,1431NML0RX,Oracle Sun
427,yes,1431NML0RY,Oracle Sun
428,yes,AK00176724,Oracle Sun
429,yes,AK00176725,Oracle Sun
430,yes,AK00198089,Oracle Sun
431,yes,AK00199903,Oracle Sun
432,yes,AK00199905,Oracle Sun
433,yes,AK00200122,Oracle Sun
434,yes,AK00200124,Oracle Sun
435,yes,AK00200177,Oracle Sun
436,yes,AK00200178,Oracle Sun
437,yes,AK00200179,Oracle Sun
438,yes,AK00200180,Oracle Sun
439,yes,AK00201155,Oracle Sun
440,yes,AK00201158,Oracle Sun
441,yes,AK00201159,Oracle Sun
442,yes,AK00230310,Oracle Sun
443,yes,AK00230311,Oracle Sun
444,yes,AK00230312,Oracle Sun
445,yes,AK00230313,Oracle Sun
446,yes,AK00230431,Oracle Sun
447,yes,AK00230432,Oracle Sun
